,timestamp,page_name,revisions_count,contributors_count,age_of_page_days
0,2018-06-07T12:00:00Z,(163950)_2003_UN22,9,7,2565
1,2018-06-07T12:00:00Z,(164207)_2004_GU9,21,4,896
2,2018-06-07T12:00:00Z,(16553)_1991_TL14,11,8,2568
3,2018-06-07T12:00:00Z,(166609)_2002_RF232,10,8,2565
4,2018-06-07T12:00:00Z,(170025)_2002_VO,10,7,2565
5,2018-06-07T12:00:00Z,(170026)_2002_VV2,10,7,2565
6,2018-06-07T12:00:00Z,(170027)_2002_VH5,10,7,2565
7,2018-06-07T12:00:00Z,(171287)_2006_GK3,8,6,2565
8,2018-06-07T12:00:00Z,(172460)_2003_RT11,10,8,2565
9,2018-06-07T12:00:00Z,(172533)_2003_UO9,9,7,2565
10,2018-06-07T12:00:00Z,(172627)_2003_XP10,9,7,2565
11,2018-06-07T12:00:00Z,(173075)_2006_UC,9,7,2565
12,2018-06-07T12:00:00Z,(174758)_2003_VX2,9,7,2565
13,2018-06-07T12:00:00Z,(175113)_2004_PF115,20,2,202
14,2018-06-07T12:00:00Z,(177065)_2003_FP7,9,7,2565
15,2018-06-07T12:00:00Z,(177245)_2003_WB,9,7,2565
16,2018-06-07T12:00:00Z,(177625)_2004_JD,9,7,2565
17,2018-06-07T12:00:00Z,(180103)_2003_FX6,9,7,2565
18,2018-06-07T12:00:00Z,(180213)_2003_UM8,9,7,2565
19,2018-06-07T12:00:00Z,(180216)_2003_UY9,9,7,2565
20,2018-06-07T12:00:00Z,(180537)_2004_EB1,9,7,2565
21,2018-06-07T12:00:00Z,(180731)_2004_JW35,9,7,2565
22,2018-06-07T12:00:00Z,(181492)_2006_UU1,9,7,2565
23,2018-06-07T12:00:00Z,(183501)_2003_FU4,10,8,2565
24,2018-06-07T12:00:00Z,(184064)_2004_GM,9,7,2565
25,2018-06-07T12:00:00Z,(186728)_2004_CH2,11,8,2565
26,2018-06-07T12:00:00Z,(187304)_2005_UV,9,7,2565
27,2018-06-07T12:00:00Z,(188588)_2005_NP29,9,7,2565
28,2018-06-07T12:00:00Z,(188721)_2005_UU,10,8,2565
29,2018-06-07T12:00:00Z,(189944)_2003_TX,9,7,2565
30,2018-06-07T12:00:00Z,(190118)_2004_VR60,9,7,2565
31,2018-06-07T12:00:00Z,(191323)_2003_KN,9,7,2565
32,2018-06-07T12:00:00Z,(191485)_2003_TO2,10,8,2565
33,2018-06-07T12:00:00Z,(191621)_2004_MN3,9,7,2565
34,2018-06-07T12:00:00Z,(19308)_1996_TO66,4,1,771
35,2018-06-07T12:00:00Z,(196256)_2003_EH1,3,3,1501
36,2018-06-07T12:00:00Z,(196297)_2003_FA,10,7,2565
37,2018-06-07T12:00:00Z,(196926)_2003_UG5,10,8,2565
38,2018-06-07T12:00:00Z,(199742)_2006_JD,11,7,2565
